seq	time	pc	event	detail	mode	wim	y	tbr	npc	psr_impl	psr_ver	psr_n	psr_z	psr_v	psr_c	psr_ec	psr_ef	psr_pil	psr_s	psr_ps	psr_et	psr_cwp	g0	g1	g2	g3	g4	g5	g6	g7	o0	o1	o2	o3	o4	o5	o6	o7	l0	l1	l2	l3	l4	l5	l6	l7	i0	i1	i2	i3	i4	i5	i6	i7
0	0	0x0	RESET	reset_trap -> EXECUTE	EXECUTE	0x0	0x0	0x0	0x4	0000	0000	0	0	0	0	0	0	0000	1	0	1	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
1	0	0x0	TRAP_ENTER	jumped to trap handler	EXECUTE	0x0	0x0	0x0	0x4	0000	0000	0	0	0	0	0	0	0000	1	1	0	00111	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x4	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
2	0	0x0	FETCH	WRPSR word=0x81880000	EXECUTE	0x0	0x0	0x0	0x4	0000	0000	0	0	0	0	0	0	0000	1	1	0	00111	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x4	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
3	1	0x4	FETCH	NOP word=0x1000000	EXECUTE	0x0	0x0	0x0	0x8	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
4	2	0x8	FETCH	NOP word=0x1000000	EXECUTE	0x0	0x0	0x0	0xc	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
5	3	0xc	FETCH	NOP word=0x1000000	EXECUTE	0x0	0x0	0x0	0x10	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
6	4	0x10	FETCH	OR word=0xa0102005	EXECUTE	0x0	0x0	0x0	0x14	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
7	5	0x14	FETCH	OR word=0xa2102007	EXECUTE	0x0	0x0	0x0	0x18	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x5	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
8	6	0x18	FETCH	ADD word=0x90040011	EXECUTE	0x0	0x0	0x0	0x1c	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x5	0x7	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
9	7	0x1c	FETCH	TA word=0x91d02000	EXECUTE	0x0	0x0	0x0	0x20	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0xc	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x5	0x7	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
10	7	0x1c	TRAP_RAISED	trap_instruction(0)	EXECUTE	0x0	0x0	0x0	0x20	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0xc	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x5	0x7	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
11	8	0x1c	HALT	entering error_mode	ERROR	0x0	0x0	0x0	0x20	0000	0000	0	0	0	0	0	0	0000	0	0	0	00000	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0xc	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x5	0x7	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0	0x0
